LOCAL;VOLUNTÁRIOS;DOAÇÕES;ENDEREÇO;GRUPO WHATS;OBS;;;;;;;;;;;;;;;;;;;;
Centro VIDA;p/ escala;Precisando;Av. Baltazar de Oliveira Garcia, 2132;https://bit.ly/3UstHLx;PRECISANDO: toalhas, colchões, cobertores, água, material de higiene, marmitas;;;;;;;;;;;;;;;;;;;;
;;;;;DISPONÍVEL:;;;;;;;;;;;;;;;;;;;;
Colégio Luterano da Paz;Precisando;Precisando;Av. Alcídes São Severiano, 100 - Sarandi, Porto Alegre - RS, 91130-500;;PRECISANDO: voluntários noite, colchões;;;;;;;;;;;;;;;;;;;;
;;;;;DISPONÍVEL:;;;;;;;;;;;;;;;;;;;;
Lindóia Tênis Clube;s/ infos;s/ infos;Tv. Cmte. Gustavo Cramer, 90 - Jardim Lindóia, Porto Alegre - RS, 91050-190;;PRECISANDO: voluntários p/ separar roupas, medicamentos, mat. primeiros socorros;;;;;;;;;;;;;;;;;;;;
;;;;;DISPONÍVEL:;;;;;;;;;;;;;;;;;;;;
Escola São Francisco;s/ infos;Precisando;Rua Victor Silva, 186 - Camaquã, Porto Alegre - RS, 91910-170;;PRECISANDO: ;;;;;;;;;;;;;;;;;;;;
;;;;;DISPONÍVEL:;;;;;;;;;;;;;;;;;;;;
;​;Precisando;Rua Cipó, 450 - Vila Ipiranga, Porto Alegre;;PRECISANDO: roupas, cobertas, mat. higiene;;;;;;;;;;;;;;;;;;;;
;;;;;DISPONÍVEL:;;;;;;;;;;;;;;;;;;;;
Volpe;Sob controle;Sob controle;Av. Venâncio Aires, 711 - Santana, Porto Alegre - RS, 90040-193;;PRECISANDO: ;;;;;;;;;;;;;;;;;;;;
;;;;;DISPONÍVEL: leitos e tratamentos p/ animais;;;;;;;;;;;;;;;;;;;;
